1,A Bike Store,Value Added Reseller,S,300000.00,30000.00,2020,2020,US
2,Progressive Sports,Specialty Bike Shop,A,800000.00,80000.00,2021,2022,US
3,Advanced Bike Components,Warehouse,Q,1500000.00,150000.00,2020,2022,US
4,Modular Cycle Systems,Value Added Reseller,S,300000.00,30000.00,2020,2022,US
5,Metropolitan Sports Supply,Specialty Bike Shop,A,800000.00,80000.00,2021,2022,US
6,Aerobic Exercise Company,Warehouse,Q,1500000.00,150000.00,2022,2022,US
7,Associated Bikes,Value Added Reseller,S,300000.00,30000.00,2020,2021,US
8,Exemplary Cycles,Specialty Bike Shop,A,800000.00,80000.00,2022,2022,US
9,Tandem Bicycle Store,Warehouse,Q,1500000.00,150000.00,2021,2022,US
10,Rural Cycle Emporium,Value Added Reseller,S,800000.00,80000.00,2021,2022,CA
11,Sharp Bikes,Specialty Bike Shop,A,800000.00,80000.00,2020,2020,CA
12,Bikes and Motorbikes,Warehouse,Q,1500000.00,150000.00,2021,2022,CA
13,Country Parts Shop,Value Added Reseller,S,800000.00,80000.00,NULL,NULL,FR
14,Bicycle Warehouse Inc.,Specialty Bike Shop,A,1000000.00,100000.00,2022,2022,DE
15,Budget Toy Store,Warehouse,Q,3000000.00,300000.00,2022,2022,AU
16,Bulk Discount Store,Value Added Reseller,S,800000.00,80000.00,2021,2022,GB
17,Trusted Catalog Store,Specialty Bike Shop,A,1000000.00,100000.00,2019,2022,US
18,Catalog Store,Warehouse,Q,3000000.00,300000.00,2020,2022,US
19,Center Cycle Shop,Value Added Reseller,S,1000000.00,100000.00,2021,2021,US
20,Central Discount Store,Specialty Bike Shop,A,1000000.00,100000.00,2020,2022,US
21,Chic Department Stores,Warehouse,Q,3000000.00,300000.00,2021,2022,US
22,Travel Systems,Value Added Reseller,S,800000.00,80000.00,2020,2022,US
23,Bike World,Specialty Bike Shop,A,1500000.00,150000.00,2021,2022,US
24,Eastside Department Store,Warehouse,Q,3000000.00,300000.00,2021,2022,US
25,Coalition Bike Company,Value Added Reseller,S,800000.00,80000.00,2021,2022,US
26,Stylish Department Stores,Specialty Bike Shop,A,1500000.00,150000.00,2020,2020,US
27,Sports Sales and Rental,Warehouse,Q,3000000.00,300000.00,2019,2022,US
28,Commuter Bicycle Store,Value Added Reseller,S,800000.00,80000.00,2022,2022,CA
29,Cross-Country Riding Supplies,Specialty Bike Shop,A,1500000.00,150000.00,2020,2020,CA
30,Cycle Merchants,Warehouse,Q,3000000.00,300000.00,2021,2022,CA
31,Wheels Inc.,Value Added Reseller,S,800000.00,80000.00,2022,2022,FR
32,Precision Gears Inc.,Specialty Bike Shop,A,1500000.00,150000.00,NULL,NULL,DE
33,Global Sports Outlet,Warehouse,Q,3000000.00,300000.00,2022,2022,AU
34,Cycles Wholesaler & Mfg.,Value Added Reseller,S,800000.00,80000.00,2021,2022,GB
35,Economic Parts Supply,Specialty Bike Shop,A,1500000.00,150000.00,NULL,NULL,US
36,Exotic Bikes,Warehouse,Q,3000000.00,300000.00,2020,2022,US
37,Two Bike Shops,Value Added Reseller,S,800000.00,80000.00,2021,2022,US
38,Finer Mart,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,US
39,Fitness Hotel,Warehouse,Q,3000000.00,300000.00,2021,2022,US
40,Journey Sporting Goods,Value Added Reseller,S,800000.00,80000.00,2020,2020,US
41,Distant Inn,Specialty Bike Shop,A,1500000.00,150000.00,2020,2022,US
42,Healthy Activity Store,Warehouse,Q,3000000.00,300000.00,NULL,NULL,US
43,Frugal Bike Shop,Value Added Reseller,S,800000.00,80000.00,2021,2022,US
44,Games and Sport Supply Company,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,US
45,Every Bike Shop,Warehouse,Q,3000000.00,300000.00,2020,2022,US
46,Gear-Shift Bikes Limited,Value Added Reseller,S,800000.00,80000.00,2021,2021,CA
47,Greater Bike Store,Specialty Bike Shop,A,1500000.00,150000.00,2020,2022,CA
48,Grand Industries,Warehouse,Q,3000000.00,300000.00,2022,2022,CA
49,Neighborhood Bicycle Storehouse,Value Added Reseller,S,800000.00,80000.00,2022,2022,FR
50,Hometown Riding Supplies,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,DE
51,Ideal Components,Warehouse,Q,3000000.00,300000.00,2022,2022,AU
52,Instruments and Parts Company,Value Added Reseller,S,300000.00,30000.00,2022,2022,GB
53,Incomparable Bicycle Store,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,US
54,Larger Cycle Shop,Warehouse,Q,3000000.00,300000.00,2020,2022,US
55,Kickstands and Accessories Company,Value Added Reseller,S,300000.00,30000.00,2022,2022,US
56,Latest Accessories Sales,Specialty Bike Shop,A,1500000.00,150000.00,2021,2022,US
57,Leading Sales & Repair,Warehouse,Q,3000000.00,300000.00,2020,2020,US
58,Largest Bike Store,Value Added Reseller,S,300000.00,30000.00,2020,2021,US
59,Locks Company,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,US
60,Main Bicycle Services,Warehouse,Q,3000000.00,300000.00,NULL,NULL,US
61,Many Bikes Store,Value Added Reseller,S,300000.00,30000.00,2021,2022,US
62,Manufacturers Inc,Specialty Bike Shop,A,1500000.00,150000.00,2021,2022,US
63,Metro Bike Mart,Warehouse,Q,3000000.00,300000.00,2020,2022,US
64,Metal Clearing House,Value Added Reseller,S,300000.00,30000.00,2022,2022,CA
65,Metro Manufacturing,Specialty Bike Shop,A,1500000.00,150000.00,2021,2022,CA
66,Neighborhood Store,Warehouse,Q,3000000.00,300000.00,2021,2021,CA
